epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,9137.03,1.02577,0.80226,1.4589,0.81189,0.67434,0.77273,0.50398,1.18539,0.6998,1.65962,0.0059905,0.0059905,0.0059905
83,9244.35,1.01386,0.78923,1.45468,0.8093,0.67523,0.77276,0.50402,1.18523,0.70039,1.66017,0.005941,0.005941,0.005941
84,9350.45,1.0175,0.78415,1.4474,0.81066,0.67238,0.77376,0.50436,1.18565,0.69875,1.66053,0.0058915,0.0058915,0.0058915
85,9456.85,1.01434,0.78344,1.45309,0.76022,0.71042,0.77298,0.50329,1.1856,0.69724,1.65988,0.005842,0.005842,0.005842
86,9563.35,1.00373,0.7806,1.44108,0.75858,0.7157,0.77453,0.50336,1.18534,0.69681,1.6598,0.0057925,0.0057925,0.0057925
87,9669.63,1.00914,0.79258,1.44771,0.75877,0.71454,0.77412,0.50366,1.18353,0.69632,1.65901,0.005743,0.005743,0.005743
88,9775.82,1.00423,0.77483,1.44703,0.7587,0.71316,0.77367,0.50399,1.18333,0.69444,1.65945,0.0056935,0.0056935,0.0056935
89,9881.82,1.00886,0.77609,1.44639,0.75755,0.71489,0.77225,0.50318,1.18286,0.69392,1.65945,0.005644,0.005644,0.005644
90,9988.03,0.99964,0.78022,1.44016,0.76921,0.70039,0.77208,0.50339,1.18325,0.69485,1.65943,0.0055945,0.0055945,0.0055945
91,10094.6,1.00589,0.77784,1.44707,0.81314,0.67086,0.77278,0.50385,1.18326,0.69452,1.65856,0.005545,0.005545,0.005545
92,10200.8,1.00641,0.77469,1.44851,0.77119,0.70325,0.77343,0.50455,1.18303,0.6938,1.65894,0.0054955,0.0054955,0.0054955
93,10306.8,1.00253,0.77655,1.44202,0.7724,0.70137,0.77322,0.50432,1.1831,0.69333,1.65885,0.005446,0.005446,0.005446
94,10413.3,0.99835,0.7668,1.43719,0.77798,0.6993,0.77377,0.50425,1.18301,0.69332,1.65919,0.0053965,0.0053965,0.0053965
95,10519.5,1.00313,0.76653,1.43942,0.77527,0.7021,0.77374,0.50414,1.18206,0.69281,1.65857,0.005347,0.005347,0.005347
96,10625.5,0.99744,0.77185,1.43762,0.77218,0.70318,0.77435,0.5043,1.18161,0.69211,1.65833,0.0052975,0.0052975,0.0052975
97,10731.6,0.99671,0.77426,1.44093,0.80455,0.68447,0.77453,0.50407,1.18192,0.69203,1.65872,0.005248,0.005248,0.005248
98,10836.5,0.99297,0.76322,1.43314,0.80353,0.68563,0.77333,0.50346,1.18215,0.69125,1.65928,0.0051985,0.0051985,0.0051985
99,10941.1,0.99041,0.75965,1.43452,0.80412,0.68482,0.77425,0.50373,1.18202,0.69144,1.65934,0.005149,0.005149,0.005149
100,11046.6,0.98841,0.76729,1.43476,0.78231,0.69346,0.77439,0.50443,1.18199,0.6911,1.65972,0.0050995,0.0050995,0.0050995
